Audio,Reference,Raw Prediction,Fixed Prediction,WER (Raw),WER (Fixed)
common_voice_en_42238716.mp3,Esplen is part of Pittsburgh and is in the Pittsburgh City School district.,aspirin is part of pittsburgh and is in the pittsburgh city school district,aspirin is part of pittsburgh and is in the pittsburgh city school district,7.69,7.69
common_voice_en_42555516.mp3,Safronov is the nearest rural locality.,saffron of is the nearest rural locality,saffron of is the nearest rural locality,33.33,33.33
common_voice_en_42123909.mp3,Weather forecasting is another critical aspect of sailing yacht management.,weather forecasting is another critical aspect of sailing yacht management,weather forecasting is another critical aspect of sailing yacht management,0.0,0.0
common_voice_en_42527894.mp3,"The group then sing the bridge, and end the song repeating the chorus twice.",the group then seeing the bridge and end the song repeating the chorus twice,the group then seeing the bridge and end the song repeating the chorus twice,7.14,7.14
common_voice_en_42387510.mp3,Typically it encloses a metal grommet for reinforcement and to reduce wear.,typically it encloses a metal grommets for reinforcement and to reduce wear,typically it encloses a metal grommets for reinforcement and to reduce wear,8.33,8.33
common_voice_en_41917490.mp3,"The department is, historically, a prominent producer of gold, silver, and copper.",the department is historically a prominent producer of gold silver and copper,the department is historically a prominent producer of gold silver and copper,0.0,0.0
common_voice_en_41920861.mp3,"According to an old account, there was an important exception to the rule.",according to an old account there was an important exception to the rule,according to an old account there was an important exception to the rule,0.0,0.0
common_voice_en_41917515.mp3,One skeleton dances part of the Charleston.,once collected thus is part of the charleston,once collected thus is part of the charleston,57.14,57.14
common_voice_en_41974998.mp3,The ghettoization was completed within a week.,the garage station was completed within a week,the garage station was completed within a week,28.57,28.57
common_voice_en_42358814.mp3,He then started to study Business administration but broke off after a few semesters.,he then started to study business administration but broke off after a few semesters,he then started to study business administration but broke off after a few semesters,0.0,0.0
common_voice_en_41928094.mp3,Then you're not the man.,then you're not the man,then you're not the man,0.0,0.0
common_voice_en_41929248.mp3,The local baseball field is named for him.,the local baseball field is named for him,the local baseball field is named for him,0.0,0.0
common_voice_en_41928171.mp3,"These circuits are very frequently fed from transformers, and have significant resistance.",they so cute are very frequently fed from transformers and acid navy contrast these days,they so cute are very frequently fed from transformers and acid navy contrast these days,66.67,66.67
common_voice_en_41962478.mp3,He won his first career race at New Hampshire and finished eighth in points.,he won his first career is at new hampshire and finished eighth in points,he won his first career is at new hampshire and finished eighth in points,7.14,7.14
common_voice_en_41921421.mp3,She is married to Mathieu Sweeney.,she is married to matthew sweep ne,she is married to matthew sweep ne,50.0,50.0
common_voice_en_41948210.mp3,"“These others,” he said in a voice of extreme irritation.",these others he said in a voice of extreme irritation,these others he said in a voice of extreme irritation,0.0,0.0
common_voice_en_41920850.mp3,He is quickly killed by Superboy-Prime amidst the chaos.,he is quickly killed by superboy prime amidst the chaos,he is quickly killed by superboy prime amidst the chaos,22.22,22.22
common_voice_en_41930868.mp3,"He attended Iowa State University, where he played defense on the school's football team.",he attended iowa state university where he played defense on the school's football team,he attended iowa state university where he played defense on the school's football team,0.0,0.0
common_voice_en_41917262.mp3,Many highly successful television series have been known as period pieces.,many highly successful tv series have been known as period pieces,many highly successful tv series have been known as period pieces,9.09,9.09
common_voice_en_42437221.mp3,Lenny Hart was also the Grateful Dead's original money manager.,lenny hart was also the grateful dead's original money manager,lenny hart was also the grateful dead's original money manager,0.0,0.0
